date;heure;dept;com;adresse;carr;segm;lieu_1_nomv;lieu_2_nomv;vehicule_1_cadmin;vehicule_1_lveh;vehicle_2_cadmin;vehicule_2_lveh;vehicule_3_cadmin;vehicule_3_lveh;usager_1_catu;usager_1_grav;usager_1_lveh;usager_2_catu;usager_2_grav;usager_2_lveh;usager_3_catu;usager_3_grav;usager_3_lveh;usager_4_catu;usager_4_grav;usager_4_lveh
2012-07-03;15:00;75;119;160, RUE D AUBERVILLIERS;;;RUE D AUBERVILLIERS;;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
2012-01-15;11:45;75;119;20, RUE DE JOINVILLE;;;RUE DE JOINVILLE;;VL;A;;;;;Cond;Indem;A;Piéto;BL;A;;;;;;
2012-07-23;18:20;75;119;105, BOULEVARD MACDONALD;;;BOULEVARD MACDONALD;;VL;A;Scoo50-125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2013-05-11;22:50;75;119;BOULEVARD MACDONALD;;;BOULEVARD MACDONALD;;VL;A;Moto50-125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2012-05-17;04:50;75;119;PLACE SKANDERBEG;;;PLACE SKANDERBEG;;VL;A;VL;B;;;Cond;Indem;B;Cond;BL;A;;;;;;
2012-09-03;16:20;75;119;PORTE D AUBERVILLIERS;;;BD PERIPHERIQUE INTERIEUR;;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2013-08-03;22:50;75;120;ECH BAGNOLET-EU/20;;;ECH BAGNOLET-EU/20;;VL;A;VL;Z;;;Cond;BL;A;;;;;;;;;
2013-01-30;11:00;75;120;ECHANGEUR BAGNOLET;;;ECH BAGNOLET-ER/20;;VL;A;;;;;Cond;BL;A;;;;;;;;;
2013-12-11;20:10;75;120;BPI BAGNOLET MONTREUIL;;;BD PERIPHERIQUE INTERIEUR;;Moto>125;A;VL;Z;;;Cond;Indem;A;Pass;BL;A;;;;;;
2012-06-12;14:30;75;120;BPE MONTREUIL BAGNOLET;;;BD PERIPHERIQUE EXTERIEUR;;Scoo50-125;A;Moto50-125;B;;;Cond;BL;A;Cond;BL;B;;;;;;
2013-07-19;01:20;75;120;PORTE DE BAGNOLET;;;BD PERIPHERIQUE INTERIEUR;;VL;A;TR;B;;;Cond;Indem;B;Cond;BL;A;;;;;;
2013-10-29;13:45;75;120;BPI LILAS BAGNOLET;;;BD PERIPHERIQUE INTERIEUR;;Moto>125;A;VL;B;;;Cond;BL;A;Cond;Indem;B;;;;;;
2012-11-16;17:00;75;120;BPI LILAS BAGNOLET;;;BD PERIPHERIQUE INTERIEUR;;VL;A;VU;B;VL;C;Cond;BL;A;Cond;Indem;B;Cond;Indem;C;;;
2013-11-22;17:10;75;120;PORTE DE BAGNOLET;;;BD PERIPHERIQUE INTERIEUR;;VL;A;Moto>125;B;;;Cond;Indem;A;Cond;BL;B;;;;;;
2012-04-29;08:35;75;120;ECHANGEUR BAGNOLET;;;ECH BAGNOLET-EU/20;;VL;A;;;;;Cond;BL;A;Pass;BL;A;Pass;BL;A;;;
